business_id,alias,yelp_name,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
R3BBuHmher7d0QouLbJLjQ,mcalisters-deli-charlotte-13,McAlister's Deli,0,18,3.5,35.161651,-80.971822,$,Charlotte,28273,https://www.yelp.com/biz/mcalisters-deli-charlotte-13?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
eEvTnwKH_wRrm2nekXrKXQ,fuzzy-s-taco-shop-charlotte,Fuzzy’s Taco Shop,0,10,4,35.16153522,-80.97157116,?,Charlotte,28278,https://www.yelp.com/biz/fuzzy-s-taco-shop-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
nir0Fr_oIwUq2nXQ-N1iEQ,starbucks-charlotte-113,Starbucks,0,9,4,35.16199447,-80.97082101,?,Charlotte,28278,https://www.yelp.com/biz/starbucks-charlotte-113?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
3nRaWjtgTxoqtpHKJy5u4g,bojangles-famous-chicken-n-biscuits-charlotte-27,Bojangles' Famous Chicken 'n Biscuits,0,40,1.5,35.1619606,-80.96895599,$,Charlotte,28273,https://www.yelp.com/biz/bojangles-famous-chicken-n-biscuits-charlotte-27?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
sdjkEXdhbSO3QOJpOvLKkQ,mcdonalds-charlotte-47,McDonald's,0,27,1.5,35.16311384,-80.970074,$,Charlotte,28273,https://www.yelp.com/biz/mcdonalds-charlotte-47?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
xlUoy-OVO-EgZzfiHJk1Hg,wendys-charlotte-38,Wendy's,0,29,2,35.16378803,-80.9722954,$,Charlotte,28278,https://www.yelp.com/biz/wendys-charlotte-38?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
e1UF53wfi3HKNmPHzc3OLg,zaxbys-chicken-fingers-and-buffalo-wings-charlotte-5,Zaxby's Chicken Fingers & Buffalo Wings,0,34,1.5,35.16346393,-80.9707925,$,Charlotte,28278,https://www.yelp.com/biz/zaxbys-chicken-fingers-and-buffalo-wings-charlotte-5?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
FTbNkCQyXjRqK0zJM70pmA,charleys-philly-steaks-charlotte,Charley's Philly Steaks,0,13,2,35.16944,-80.9707899,$$,Charlotte,28278,https://www.yelp.com/biz/charleys-philly-steaks-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
rJw7E-x2366MY509ojuzjg,arbys-charlotte-12,Arby's,0,1,1,35.162849,-80.971406,?,CHARLOTTE,28278,https://www.yelp.com/biz/arbys-charlotte-12?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
9izKpGh8WsGO0nP7B8MOsw,what-goes-round-charlotte,What Goes Round,0,1,5,35.14800262,-80.97119141,?,Charlotte,28273,https://www.yelp.com/biz/what-goes-round-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
